,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
active_devs,13.0,12.0,13.0,4.0,7.0,5.0,3.0,3.0,3.0,4.0,5.0,7.0,1.0,3.0,2.0,0.0,2.0,7.0,5.0,4.0,5.0,1.0,2.0,8.0,8.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e_edges,21.0,13.0,10.0,4.0,7.0,6.0,3.0,3.0,5.0,3.0,3.0,7.0,1.0,2.0,2.0,0.0,1.0,6.0,4.0,4.0,5.0,0.0,1.0,5.0,8.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_commits,1870.0,172.0,112.0,2.0,59.0,17.0,8.0,13.0,0.0,13.0,1.0,39.0,0.0,85.0,0.0,0.0,0.0,38.0,189.0,221.0,399.0,46.0,106.0,103.0,3.0,72.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inactive_e,0.25,0.25,0.4210526315789473,0.88,0.7333333333333333,0.625,0.7894736842105263,0.8181818181818182,0.5,0.7777777777777778,0.8571428571428571,0.4,0.0,0.8571428571428571,0.0,1.0,0.0,0.3043478260869565,0.64,0.7307692307692307,0.3461538461538461,1.0,0.5,0.8148148148148148,0.48,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e_nodes,12.0,9.0,9.0,4.0,6.0,6.0,3.0,2.0,4.0,2.0,4.0,7.0,2.0,3.0,3.0,0.0,2.0,5.0,4.0,3.0,4.0,0.0,1.0,6.0,7.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inactive_c,0.7,0.4583333333333333,0.75,0.0,0.7272727272727273,0.7333333333333333,0.0,0.0,1.0,0.7777777777777778,0.0,0.6,1.0,0.0,1.0,1.0,1.0,0.5238095238095238,0.4137931034482758,0.2307692307692307,0.1724137931034483,0.5,0.36,0.631578947368421,0.9,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e_triangles,10.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_nodes,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skew_c,0.9147601376302616,1.4003665360412825,3.2654008292864667,0.0,-0.2478333685159572,-1.453174204222023,0.0,-1.0,0.0,0.0996817490841221,0.0,-0.8730655737682699,0.0,0.0,0.0,0.0,0.0,0.0245643655252002,-0.1994240606376437,-0.412099918124492,-0.6175613961117058,0.2801423049796414,-0.3689955385877572,1.2891727970051168,0.7071067811865887,-2.837787168853316,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e_bidirected_edges,26.0,12.0,11.0,1.0,7.0,7.0,3.0,4.0,7.0,4.0,4.0,5.0,0.0,1.0,2.0,0.0,2.0,10.0,7.0,6.0,6.0,0.0,1.0,8.0,12.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
